,run0,run1,run2,run3
0,10.0,2.0,4.0,1.0
1,4.0,10.0,14.0,1.0
2,4.0,4.0,2.0,3.0
3,0.0,0.0,2.0,3.0
4,1.0,1.0,2.0,7.0
5,0.0,3.0,2.0,7.0
6,1.0,7.0,2.0,1.0
7,1.0,7.0,3.0,3.0
8,1.0,1.0,2.0,9.0
9,7.0,8.0,2.0,9.0
10,6.0,2.0,0.0,5.0
11,2.0,2.0,1.0,5.0
12,3.0,6.0,9.0,0.0
13,3.0,6.0,3.0,2.0
14,10.0,2.0,1.0,0.0
15,0.0,0.0,2.0,0.0
16,0.0,0.0,0.0,0.0
17,4.0,8.0,0.0,0.0
18,0.0,8.0,1.0,2.0
19,2.0,8.0,1.0,0.0
20,8.0,8.0,9.0,0.0
21,2.0,9.0,0.0,1.0
22,4.0,1.0,1.0,1.0
23,0.0,1.0,0.0,1.0
24,0.0,1.0,2.0,9.0
25,1.0,1.0,2.0,1.0
26,1.0,3.0,0.0,1.0
27,1.0,1.0,2.0,3.0
28,3.0,0.0,2.0,1.0
29,3.0,0.0,3.0,1.0
30,3.0,0.0,3.0,1.0
31,2.0,0.0,1.0,1.0
32,3.0,2.0,1.0,1.0
33,5.0,0.0,1.0,0.0
34,5.0,0.0,1.0,0.0
35,7.0,1.0,3.0,0.0
36,7.0,7.0,1.0,0.0
37,7.0,0.0,1.0,0.0
38,6.0,4.0,0.0,1.0
39,2.0,5.0,1.0,1.0
40,0.0,5.0,3.0,1.0
41,4.0,5.0,9.0,0.0
42,2.0,5.0,6.0,4.0
43,3.0,1.0,4.0,0.0
44,3.0,1.0,0.0,1.0
45,3.0,1.0,0.0,5.0
46,7.0,7.0,0.0,1.0
47,3.0,1.0,0.0,9.0
48,3.0,1.0,0.0,1.0
49,7.0,1.0,0.0,1.0
50,5.0,0.0,0.0,5.0
51,1.0,0.0,1.0,5.0
52,0.0,1.0,5.0,12.0
53,4.0,1.0,1.0,4.0
54,6.0,1.0,1.0,4.0
55,7.0,0.0,1.0,4.0
56,4.0,4.0,8.0,12.0
57,6.0,0.0,12.0,4.0
58,6.0,0.0,4.0,0.0
59,4.0,0.0,2.0,0.0
60,5.0,0.0,0.0,0.0
61,7.0,0.0,8.0,0.0
62,5.0,0.0,8.0,0.0
63,7.0,0.0,12.0,0.0
64,1.0,1.0,12.0,0.0
65,8.0,0.0,4.0,0.0
66,0.0,0.0,4.0,0.0
67,0.0,0.0,5.0,0.0
68,2.0,6.0,1.0,0.0
69,3.0,0.0,3.0,0.0
70,3.0,0.0,7.0,0.0
71,3.0,1.0,6.0,1.0
72,3.0,5.0,7.0,1.0
73,5.0,5.0,3.0,2.0
74,1.0,1.0,1.0,0.0
75,5.0,1.0,3.0,1.0
76,4.0,1.0,9.0,1.0
77,0.0,1.0,8.0,1.0
78,0.0,1.0,9.0,1.0
79,0.0,1.0,0.0,1.0
80,2.0,1.0,2.0,0.0
81,2.0,1.0,6.0,0.0
82,0.0,1.0,4.0,0.0
83,0.0,1.0,5.0,0.0
84,10.0,1.0,7.0,0.0
85,2.0,1.0,3.0,1.0
86,2.0,0.0,2.0,1.0
87,2.0,0.0,2.0,6.0
88,3.0,0.0,2.0,2.0
89,7.0,1.0,0.0,2.0
90,5.0,1.0,1.0,3.0
91,5.0,1.0,1.0,5.0
92,1.0,1.0,1.0,4.0
93,3.0,9.0,7.0,4.0
94,3.0,1.0,9.0,4.0
95,2.0,1.0,9.0,4.0
96,2.0,0.0,1.0,4.0
97,4.0,2.0,0.0,4.0
98,0.0,0.0,0.0,4.0
99,0.0,0.0,0.0,4.0
100,4.0,0.0,0.0,4.0
101,6.0,0.0,0.0,4.0
102,7.0,4.0,1.0,4.0
103,1.0,4.0,1.0,4.0
104,1.0,0.0,1.0,4.0
105,1.0,2.0,0.0,4.0
106,7.0,4.0,0.0,0.0
107,5.0,5.0,0.0,0.0
108,1.0,5.0,2.0,1.0
109,1.0,1.0,2.0,1.0
